,steps,distance,runDistance,calories,date,day
0,229,143,29,5,2017-12-27,Wednesday
1,1242,811,214,33,2017-12-28,Thursday
2,11095,7301,457,237,2017-12-29,Friday
3,8255,5428,484,182,2017-12-30,Saturday
4,3051,1916,319,68,2017-12-31,Sunday
5,5434,3412,393,117,2018-01-01,Monday
6,5242,3302,429,126,2018-01-02,Tuesday
7,2419,1510,147,54,2018-01-03,Wednesday
8,8729,5988,364,205,2018-01-04,Thursday
9,12774,8917,455,311,2018-01-05,Friday
10,8569,5679,447,196,2018-01-06,Saturday
11,3806,2461,211,89,2018-01-07,Sunday
12,911,568,84,20,2018-01-08,Monday
13,13633,9630,248,330,2018-01-09,Tuesday
14,7020,4619,367,156,2018-01-10,Wednesday
15,9064,6109,489,208,2018-01-11,Thursday
16,5236,3602,247,127,2018-01-12,Friday
17,8153,5402,449,187,2018-01-13,Saturday
18,5493,3618,322,129,2018-01-14,Sunday
19,5947,3943,524,144,2018-01-15,Monday
20,6516,4309,371,151,2018-01-16,Tuesday
21,8059,5374,597,187,2018-01-17,Wednesday
22,5684,3806,460,138,2018-01-18,Thursday
23,8410,5719,408,198,2018-01-19,Friday
24,9131,6104,281,201,2018-01-20,Saturday
25,2848,1889,208,72,2018-01-21,Sunday
26,6721,4331,443,157,2018-01-22,Monday
27,10564,6938,696,239,2018-01-23,Tuesday
28,9106,5912,1036,214,2018-01-24,Wednesday
29,10936,7284,975,259,2018-01-25,Thursday
30,11172,7442,844,267,2018-01-26,Friday
31,16635,10858,741,339,2018-01-27,Saturday
32,5013,3318,316,120,2018-01-28,Sunday
33,7125,4651,704,167,2018-01-29,Monday
34,7330,4879,669,169,2018-01-30,Tuesday
35,8278,5391,516,191,2018-01-31,Wednesday
36,8702,5573,613,193,2018-02-01,Thursday
37,13819,9144,727,303,2018-02-02,Friday
38,6568,4154,388,141,2018-02-03,Saturday
39,3249,2033,269,79,2018-02-04,Sunday
40,11369,7780,702,275,2018-02-05,Monday
41,7789,5235,488,182,2018-02-06,Tuesday
42,11870,8092,620,288,2018-02-07,Wednesday
43,7220,4650,566,162,2018-02-08,Thursday
44,10517,7070,410,241,2018-02-09,Friday
45,1557,971,69,34,2018-02-10,Saturday
46,0,0,0,0,2018-02-11,Sunday
47,14963,9949,826,333,2018-02-12,Monday
48,9456,6336,573,225,2018-02-13,Tuesday
49,0,0,0,0,2018-02-14,Wednesday
50,7147,4699,577,167,2018-02-15,Thursday
51,6068,3932,493,141,2018-02-16,Friday
52,4966,3358,167,117,2018-02-17,Saturday
53,1105,689,103,28,2018-02-18,Sunday
54,6358,4184,632,154,2018-02-19,Monday
55,5803,3839,519,129,2018-02-20,Tuesday
56,8043,5173,572,178,2018-02-21,Wednesday
57,6800,4480,734,173,2018-02-22,Thursday
58,6744,4363,455,147,2018-02-23,Friday
59,8544,5761,327,188,2018-02-24,Saturday
60,711,443,69,19,2018-02-25,Sunday
61,10857,7256,703,250,2018-02-26,Monday
62,8274,5595,329,189,2018-02-27,Tuesday
63,9264,6158,700,208,2018-02-28,Wednesday
64,5489,3580,485,128,2018-03-01,Thursday
65,5695,3882,325,138,2018-03-02,Friday
66,5922,3859,365,139,2018-03-03,Saturday
67,12357,8358,371,280,2018-03-04,Sunday
68,6774,4519,401,151,2018-03-05,Monday
69,8479,5836,464,199,2018-03-06,Tuesday
70,9979,6519,852,227,2018-03-07,Wednesday
71,1868,1171,188,43,2018-03-08,Thursday
72,0,0,0,0,2018-03-09,Friday
73,0,0,0,0,2018-03-10,Saturday
74,4625,2966,276,109,2018-03-11,Sunday
75,6809,4424,543,153,2018-03-12,Monday
76,10782,7125,511,238,2018-03-13,Tuesday
77,10262,6936,633,248,2018-03-14,Wednesday
78,5668,3814,242,139,2018-03-15,Thursday
79,8930,5859,574,200,2018-03-16,Friday
80,0,0,0,0,2018-03-17,Saturday
81,7473,5208,185,171,2018-03-18,Sunday
82,9216,6307,531,217,2018-03-19,Monday
83,9345,6057,624,212,2018-03-20,Tuesday
84,5750,3937,99,128,2018-03-21,Wednesday
85,1343,838,119,30,2018-03-22,Thursday
86,204,127,7,4,2018-03-23,Friday
87,0,0,0,0,2018-03-24,Saturday
88,5896,3911,312,140,2018-03-25,Sunday
89,5033,3330,324,115,2018-03-26,Monday
90,4591,3089,359,99,2018-03-27,Tuesday
91,6734,4316,399,148,2018-03-28,Wednesday
92,6630,4416,534,159,2018-03-29,Thursday
93,9659,6510,609,221,2018-03-30,Friday
94,1130,715,126,26,2018-03-31,Saturday
95,8140,5388,399,190,2018-04-01,Sunday
96,18182,12063,691,393,2018-04-02,Monday
97,7157,4752,464,155,2018-04-03,Tuesday
98,8521,5690,542,194,2018-04-04,Wednesday
99,8574,5723,547,195,2018-04-05,Thursday
100,10431,6966,998,229,2018-04-06,Friday
101,1835,1194,353,46,2018-04-07,Saturday
102,10409,7297,267,245,2018-04-08,Sunday
103,14127,9408,798,321,2018-04-09,Monday
104,6825,4532,287,153,2018-04-10,Tuesday
105,7644,5206,321,182,2018-04-11,Wednesday
106,10803,7394,527,252,2018-04-12,Thursday
107,5888,3859,411,131,2018-04-13,Friday
108,9872,6806,835,238,2018-04-14,Saturday
109,16817,11480,648,371,2018-04-15,Sunday
110,5685,3868,470,130,2018-04-16,Monday
111,10774,7159,643,235,2018-04-17,Tuesday
112,6645,4477,620,154,2018-04-18,Wednesday
113,5589,3713,326,128,2018-04-19,Thursday
114,5800,3849,616,135,2018-04-20,Friday
115,14936,10240,395,330,2018-04-21,Saturday
116,7587,5310,1026,187,2018-04-22,Sunday
117,214,133,14,5,2018-04-23,Monday
118,11098,7721,684,269,2018-04-24,Tuesday
119,8589,5736,706,199,2018-04-25,Wednesday
120,9171,6181,528,213,2018-04-26,Thursday
121,7720,5084,542,174,2018-04-27,Friday
122,8864,5965,774,204,2018-04-28,Saturday
123,4016,2640,203,89,2018-04-29,Sunday
124,5052,3384,212,111,2018-04-30,Monday
125,1586,1029,143,39,2018-05-01,Tuesday
126,12967,8985,515,311,2018-05-02,Wednesday
127,6625,4315,372,148,2018-05-03,Thursday
128,10308,7050,679,246,2018-05-04,Friday
129,8111,5328,930,188,2018-05-05,Saturday
130,6091,3851,266,127,2018-05-06,Sunday
131,828,516,94,20,2018-05-07,Monday
132,8931,5942,549,201,2018-05-08,Tuesday
133,8913,5733,443,188,2018-05-09,Wednesday
134,5987,4033,767,140,2018-05-10,Thursday
135,5012,3245,345,112,2018-05-11,Friday
136,5326,3593,232,121,2018-05-12,Saturday
137,3912,2540,293,96,2018-05-13,Sunday
138,5199,3383,336,115,2018-05-14,Monday
139,7763,5303,394,182,2018-05-15,Tuesday
140,7240,4832,464,157,2018-05-16,Wednesday
141,8366,5650,663,197,2018-05-17,Thursday
142,8297,5655,750,200,2018-05-18,Friday
143,6715,4276,529,160,2018-05-19,Saturday
144,5710,3731,642,128,2018-05-20,Sunday
145,6396,4239,453,148,2018-05-21,Monday
146,6748,4470,688,159,2018-05-22,Tuesday
147,4146,2641,476,93,2018-05-23,Wednesday
148,4616,3026,390,107,2018-05-24,Thursday
149,8282,5633,877,198,2018-05-25,Friday
150,9911,6792,866,230,2018-05-26,Saturday
151,2458,1646,138,57,2018-05-27,Sunday
152,11445,7987,930,282,2018-05-28,Monday
153,9434,6541,468,225,2018-05-29,Tuesday
154,5541,3763,272,136,2018-05-30,Wednesday
155,7494,5065,481,172,2018-05-31,Thursday
156,3143,2017,173,69,2018-06-01,Friday
157,1337,877,36,30,2018-06-02,Saturday
158,2125,1325,193,49,2018-06-03,Sunday
159,5483,3773,440,133,2018-06-04,Monday
160,11921,8136,496,279,2018-06-05,Tuesday
161,8243,5426,579,180,2018-06-06,Wednesday
162,5662,3737,431,124,2018-06-07,Thursday
163,6239,4084,579,140,2018-06-08,Friday
164,6572,4322,342,145,2018-06-09,Saturday
165,5797,3878,290,138,2018-06-10,Sunday
166,6534,4411,437,158,2018-06-11,Monday
167,5411,3539,485,119,2018-06-12,Tuesday
168,1928,1343,129,47,2018-06-13,Wednesday
